"ID","Series","Supplier","Date","Credit To","Grand Total","ID (Items)","Accepted Qty (Items)","Accepted Qty in Stock UOM (Items)","Amount (Items)","Amount (Company Currency) (Items)","Item Name (Items)","Rate (Items)","Rate (Company Currency) (Items)","UOM (Items)","UOM Conversion Factor (Items)","Item (Items)","Item Group (Items)","Payment Amount (Payment Schedule)"
"","","","","","","e44bu2b6sr",1.0,1.0,960.0,960.0,"RF Bridge R2",960.0,960.0,"Nos",1.0,"1046","All Item",""
"","","","","","","e44bt9hr4k",1.0,1.0,520.0,520.0,"PIR3-RF",520.0,520.0,"Nos",1.0,"1087","Sensor",""
"","","","","","","e44b80eci5",1.0,1.0,6545.0,6545.0,"Smart Door Lock D01",6545.0,6545.0,"Nos",1.0,"2396","Door Lock",""
"","","","","","","e44b2ui5am",1.0,1.0,13005.0,13005.0,"Lezn i7 CAT EYE Smart Door Lock",13005.0,13005.0,"Nos",1.0,"2383","Door Lock",""
"","","","","","","e44bhk97km",1.0,1.0,7200.0,7200.0,"ALEXA ECHO SHOW 5",7200.0,7200.0,"Nos",1.0,"AES5","Alexa",""
"","","","","","","e44b2v0cf4",1.0,1.0,2400.0,2400.0,"stand for ock",2400.0,2400.0,"Nos",1.0,"1817","Door Lock",""
"","","","","","","e44bs3rvad",1.0,1.0,329.8,329.8,"Rm433R2",329.8,329.8,"Nos",1.0,"1075","All Item",""
"ACC-PINV-2025-00007","ACC-PINV-.YYYY.-","Sonoff","2025-02-18","الدائنين - iHome",141995.0,"c8vuormdhd",5.0,5.0,6750.0,6750.0,"T3uS3c-TX",1350.0,1350.0,"Nos",1.0,"1011","Switch",141995.0
"","","","","","","c8vuaod8tr",5.0,5.0,6375.0,6375.0,"Tous3c-TX",1275.0,1275.0,"Nos",1.0,"1002","Switch",""
"","","","","","","c8vu4162p8",4.0,4.0,4500.0,4500.0,"Powr320d",1125.0,1125.0,"Nos",1.0,"1032","Switch",""
"","","","","","","c8vuobhp50",1.0,1.0,6150.0,6150.0,"iHost Smart Home Hub",6150.0,6150.0,"Nos",1.0,"1171","Panal",""
"","","","","","","c8vup2dn3o",2.0,2.0,1125.0,1125.0,"WireLess Siren JD-11",562.5,562.5,"Nos",1.0,"6011","Sensor",""
"","","","","","","c8vupakisj",2.0,2.0,1800.0,1800.0,"RF Bridge R2",900.0,900.0,"Nos",1.0,"1046","All Item",""
"","","","","","","c8vunmnobi",13.0,13.0,18590.0,18590.0,"T5-4C-120",1430.0,1430.0,"Nos",1.0,"1180","Switch",""
"","","","","","","c8vui6s3ki",4.0,4.0,2880.0,2880.0,"Universal Remote",720.0,720.0,"Nos",1.0,"2006","Remote",""
"","","","","","","c8vu4lo428",3.0,3.0,24000.0,24000.0,"Smart Curtain 5.2M",8000.0,8000.0,"Nos",1.0,"3011","Curtain",""
"","","","","","","c8vu6oec7q",5.0,5.0,5625.0,5625.0,"Dualr3",1125.0,1125.0,"Nos",1.0,"1079","Switch",""
